date,bnf_code,nm,median_price_per_unit
2016-11-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2016-12-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-01-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-02-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-03-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-04-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-05-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-06-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-07-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-08-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-09-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-10-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-11-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2017-12-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-01-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-02-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-03-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-04-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-05-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-06-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-07-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-08-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-09-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-10-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-11-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2018-12-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-01-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-02-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-03-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-04-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-05-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-06-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-07-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-08-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-09-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-10-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-11-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2019-12-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2020-01-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2020-02-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2020-03-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2020-04-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2020-05-01 00:00:00+00:00,0601060D0BHADA0,OneTouch Verio testing strips,0.3024
2015-06-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2015-07-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2015-08-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2015-09-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2015-10-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2015-11-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2015-12-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-01-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-02-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-03-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-04-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-05-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-06-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-07-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-08-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-09-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-10-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-11-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2016-12-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-01-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-02-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-03-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-04-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-05-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-06-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-07-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-08-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-09-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-10-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-11-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2017-12-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-01-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-02-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-03-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-04-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-05-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-06-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-07-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-08-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-09-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-10-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-11-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2018-12-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-01-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-02-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-03-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-04-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-05-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-06-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-07-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-08-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-09-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-10-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-11-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2019-12-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2020-01-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2020-02-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2020-03-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2020-04-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2020-05-01 00:00:00+00:00,0601060D0BHAEA0,OneTouch Select Plus testing strips,0.1998
2010-08-01 00:00:00+00:00,0601060D0BJAAA0,MediSense G2 testing strips,0.2756
2010-09-01 00:00:00+00:00,0601060D0BJAAA0,MediSense G2 testing strips,0.2788
2010-10-01 00:00:00+00:00,0601060D0BJAAA0,MediSense G2 testing strips,0.2788
2010-11-01 00:00:00+00:00,0601060D0BJAAA0,MediSense G2 testing strips,0.2788
2010-12-01 00:00:00+00:00,0601060D0BJAAA0,MediSense G2 testing strips,0.2788
2010-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2926
2010-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2010-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2010-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2010-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.2958
2011-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2011-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2011-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2011-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2012-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2013-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2014-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2015-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2016-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2017-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-11-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2018-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-05-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-06-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-07-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-08-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-09-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-10-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2019-12-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2020-01-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2020-02-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2020-03-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2020-04-01 00:00:00+00:00,0601060D0BJACA0,MediSense SoftSense testing strips,0.301
2010-08-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.2928
2010-09-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2010-10-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2010-11-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2010-12-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-01-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-02-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-03-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-04-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-05-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-06-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-07-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-08-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.296
2011-09-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2011-10-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2011-11-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2011-12-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-01-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-02-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-03-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-04-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-05-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-06-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-07-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-08-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3012
2012-09-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2012-10-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2012-11-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2012-12-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2013-01-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2013-02-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2013-03-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2013-04-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2013-05-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2013-06-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
2013-07-01 00:00:00+00:00,0601060D0BJADA0,FreeStyle Optium testing strips,0.3066
